Iteration log-liklihood
1 -92263.8728121
2 -87873.480851
3 -86284.8055264
4 -85595.6189561
5 -84618.0964423
6 -84175.4351303
7 -83720.4361442
8 -83535.9133737
9 -82973.3898246
10 -82864.4534406
11 -82705.9477037
12 -82409.4547142
13 -82271.9628575
14 -82407.5433384
15 -82092.4477486
16 -81931.3614727
17 -81913.4303326
18 -81694.7700923
19 -81542.3865285
20 -81501.3444419
21 -81487.1483531
22 -81311.5672522
23 -81659.5618121
24 -81513.5294247
25 -81555.0873231
26 -81274.4003563
27 -81334.46591
28 -81101.6624427
29 -81065.1275209
30 -80972.0140277
31 -80961.3024395
32 -81031.7667094
33 -80991.5331949
34 -80751.5743513
35 -80617.2760865
36 -80766.1164017
37 -80888.3971075
38 -80847.1048999
39 -80923.8130201
40 -80828.9657137
41 -80728.9791206
42 -80819.110161
43 -80641.0542319
44 -80631.344536
45 -80542.0012926
46 -80553.4417484
47 -80282.3311332
48 -80617.787598
49 -80575.7213873
50 -80505.9978498
51 -80749.1458068
52 -80513.4503979
53 -80463.4277387
54 -80348.1537211
55 -80180.3691832
56 -80591.0869363
57 -80577.6537883
58 -80332.0869701
59 -80243.8043789
60 -80272.8537511
61 -80324.049584
62 -80309.7391587
63 -80310.6896101
64 -80326.9536176
65 -80444.4056954
66 -80185.4736514
67 -80117.2115967
68 -80039.6633994
69 -80263.8749547
70 -80269.8934158
71 -80127.9463253
72 -80136.9211492
73 -79941.0504041
74 -80020.7749887
75 -79976.0082098
76 -80149.9359135
77 -80136.4999925
78 -80048.375951
79 -80081.4959649
80 -80109.7135557
81 -80177.1300867
82 -80395.7664386
83 -80158.2411136
84 -80006.2516787
85 -80077.8254263
86 -79963.3868083
87 -80065.8229009
88 -79990.6500222
89 -80013.6250296
90 -79951.2843367
91 -79931.1979769
92 -79941.8072382
93 -80011.1691272
94 -79862.9224152
95 -79977.2061261
96 -80118.2039585
97 -80005.5032189
98 -80327.881853
99 -80125.9166506
100 -80194.9524166
